Date,Sales,Revenue,Customers
2022-01-01,518,9767.731860654936,34
2022-01-02,669,4411.804882979692,85
2022-01-03,627,7084.457573125715,40
2022-01-04,503,7474.461325467192,31
2022-01-05,292,4152.520401490454,44
2022-01-06,516,5301.233359709751,14
2022-01-07,838,4326.344155302101,72
2022-01-08,334,9198.691031669363,87
2022-01-09,495,2348.6997669627044,89
2022-01-10,121,6659.137639688222,35
2022-01-11,110,4292.126686765243,79
2022-01-12,646,9126.355464412705,59
2022-01-13,796,5880.0936180768285,88
2022-01-14,895,8599.271740035732,5
2022-01-15,246,5137.373164848418,8
2022-01-16,768,8263.299450457478,57
2022-01-17,810,7525.382882171525,55
2022-01-18,737,1598.6139140765117,25
2022-01-19,773,4095.173342354177,28
2022-01-20,704,1608.241914191698,77
2022-01-21,865,5476.808863000047,56
2022-01-22,349,6377.387241042066,22
2022-01-23,923,8931.951616146303,66
2022-01-24,796,9193.112018532296,80
2022-01-25,208,7991.315480535509,88
2022-01-26,896,4361.020848139142,61
2022-01-27,740,8914.195572295657,32
2022-01-28,616,4897.220158337227,4
2022-01-29,367,6337.852551943857,1
2022-01-30,958,9529.687710248005,13
2022-01-31,670,8468.71011234862,19
2022-02-01,263,2999.283659894034,70
2022-02-02,597,9720.661658887735,49
2022-02-03,228,8927.006199866388,11
2022-02-04,314,1777.9844732684096,53
2022-02-05,587,4317.494065668669,76
2022-02-06,455,7214.693287832452,28
2022-02-07,703,5304.479679265028,43
2022-02-08,871,5030.212455126799,73
2022-02-09,603,7907.530287104572,52
2022-02-10,632,4849.594912205934,81
2022-02-11,629,8590.395216484962,58
2022-02-12,865,8149.662491547772,32
2022-02-13,759,6761.073367319358,37
2022-02-14,207,9352.18329645427,13
2022-02-15,291,6821.432413149259,9
2022-02-16,180,9936.493456064463,28
2022-02-17,379,2351.0224686051,82
2022-02-18,952,6975.393520496178,54
2022-02-19,945,8982.478665649644,69
2022-02-20,352,2532.265470207514,63
2022-02-21,901,6995.248182114094,74
2022-02-22,551,9625.535609145352,54
2022-02-23,670,2277.6789000116887,80
2022-02-24,776,3806.6883715398762,52
2022-02-25,646,9112.62296828191,41
2022-02-26,603,3868.504615035022,73
2022-02-27,719,7775.675011241129,86
2022-02-28,714,3910.0384778646417,45
2022-03-01,735,8093.75531565361,63
2022-03-02,831,1564.222226398143,33
2022-03-03,232,9139.437975945693,42
2022-03-04,373,6436.567069524858,12
2022-03-05,306,5166.328113324641,42
2022-03-06,234,3166.190052759754,48
2022-03-07,230,9269.834498373411,41
2022-03-08,633,7093.53984058255,45
2022-03-09,772,9524.140091782347,30
2022-03-10,468,9781.473779535218,17
2022-03-11,176,7390.474079177354,83
2022-03-12,505,3969.2110527215764,33
2022-03-13,615,5420.982641828774,61
2022-03-14,992,5270.345117415267,56
2022-03-15,545,8874.285897069181,80
2022-03-16,474,3760.8876225426784,60
2022-03-17,522,7376.206450231275,11
2022-03-18,257,9821.323058307777,48
2022-03-19,916,5891.153430277945,44
